#                      Published-Value                         |                      NED-Homogenized-Values                   
#      Spectral-axis           Intensity         Uncertainty   |          Spectral-axis           Intensity         Uncertainty
#             [km/s]               [mJy]               [mJy]   |                   [Hz]          [W/m^2/Hz]          [W/m^2/Hz]
              6239.3              0.2421                       |         1.39144687e+09      2.42100000e-30                    
                6248              0.7831                       |         1.39140731e+09      7.83100000e-30                    
              6256.8              0.5511                       |         1.39136730e+09      5.51100000e-30                    
              6265.5             -0.0169                       |         1.39132775e+09     -1.69000000e-31                    
              6274.2              0.1731                       |         1.39128820e+09      1.73100000e-30                    
              6282.9               1.259                       |         1.39124866e+09      1.25900000e-29                    
              6291.7               1.941                       |         1.39120866e+09      1.94100000e-29                    
              6300.4               1.581                       |         1.39116912e+09      1.58100000e-29                    
              6309.1               1.041                       |         1.39112958e+09      1.04100000e-29                    
              6317.9              0.8711                       |         1.39108959e+09      8.71100000e-30                    
              6326.6              0.7151                       |         1.39105005e+09      7.15100000e-30                    
              6335.3              0.6001                       |         1.39101052e+09      6.00100000e-30                    
              6344.1              0.7931                       |         1.39097053e+09      7.93100000e-30                    
              6352.8               1.003                       |         1.39093100e+09      1.00300000e-29                    
              6361.5               1.082                       |         1.39089148e+09      1.08200000e-29                    
              6370.3              0.9891                       |         1.39085150e+09      9.89100000e-30                    
                6379              0.4281                       |         1.39081198e+09      4.28100000e-30                    
              6387.7             -0.3209                       |         1.39077246e+09     -3.20900000e-30                    
              6396.5             -0.7369                       |         1.39073249e+09     -7.36900000e-30                    
              6405.2              -1.241                       |         1.39069297e+09     -1.24100000e-29                    
                6414               -2.11                       |         1.39065301e+09     -2.11000000e-29                    
