#                      Published-Value                         |                      NED-Homogenized-Values                   
#      Spectral-axis           Intensity         Uncertainty   |          Spectral-axis           Intensity         Uncertainty
#         [Angstrom]      [erg/cm^2/s/A]      [erg/cm^2/s/A]   |                   [Hz]          [W/m^2/Hz]          [W/m^2/Hz]
             4267.42         8.49622e-16         2.91128e-17   |         7.02514538e+14      5.16102332e-30      1.76845515e-31
             4270.17         8.68008e-16         2.92698e-17   |         7.02062117e+14      5.27950680e-30      1.78028438e-31
             4272.92         8.69159e-16         2.93195e-17   |         7.01610278e+14      5.29331880e-30      1.78560494e-31
             4275.67          9.1708e-16          2.9883e-17   |         7.01159021e+14      5.59235684e-30      1.82226632e-31
             4278.42         8.94291e-16         2.95929e-17   |         7.00708343e+14      5.46040665e-30      1.80689807e-31
             4281.17         8.58146e-16         2.90649e-17   |         7.00258245e+14      5.24644863e-30      1.77694128e-31
             4283.92         8.40402e-16          2.8794e-17   |         6.99808724e+14      5.14456995e-30      1.76264154e-31
             4286.67         8.08854e-16         2.81369e-17   |         6.99359780e+14      4.95780609e-30      1.72462885e-31
             4289.42         8.60701e-16         2.89342e-17   |         6.98911412e+14      5.28236915e-30      1.77577493e-31
             4292.17         8.29094e-16         2.83838e-17   |         6.98463619e+14      5.09491447e-30      1.74422964e-31
             4294.92         8.81577e-16         2.91241e-17   |         6.98016398e+14      5.42437498e-30      1.79201635e-31
             4297.67         8.72879e-16         2.88365e-17   |         6.97569751e+14      5.37773590e-30      1.77659311e-31
             4300.42          8.6773e-16         2.87646e-17   |         6.97123674e+14      5.35285716e-30      1.77443208e-31
             4303.17         9.29287e-16         2.95819e-17   |         6.96678167e+14      5.73992430e-30      1.82718435e-31
             4305.92         8.96382e-16          2.9054e-17   |         6.96233230e+14      5.54375892e-30      1.79687200e-31
             4308.67         9.17817e-16         2.94151e-17   |         6.95788861e+14      5.68357845e-30      1.82152900e-31
             4311.42         9.03671e-16         2.92089e-17   |         6.95345058e+14      5.60312492e-30      1.81106969e-31
             4314.17         8.76053e-16         2.87708e-17   |         6.94901821e+14      5.43881374e-30      1.78618214e-31
             4316.92         8.79375e-16         2.87928e-17   |         6.94459149e+14      5.46640005e-30      1.78982759e-31
             4319.67         9.00248e-16          2.9024e-17   |         6.94017041e+14      5.60328357e-30      1.80649890e-31
             4322.42         9.07186e-16         2.90448e-17   |         6.93575495e+14      5.65365838e-30      1.81009602e-31
             4325.17         9.06195e-16         2.88723e-17   |         6.93134510e+14      5.65467073e-30      1.80163596e-31
             4327.92         9.00535e-16         2.87249e-17   |         6.92694086e+14      5.62650023e-30      1.79471821e-31
             4330.67         8.77308e-16         2.83797e-17   |         6.92254222e+14      5.48834708e-30      1.77540435e-31
             4333.42         8.27808e-16         2.75972e-17   |         6.91814915e+14      5.18525933e-30      1.72864527e-31
