#Wavelength     Flux   Variance  Subtracted Sky
#[Angstrom]   [Counts]     [Counts]    [Counts]
6453.80    701.291000    638.613700    88.055790
6458.11    730.633500    684.161700    98.251910
6462.42    756.664600    763.199800    127.957900
6466.73    715.815600    773.702300    148.319300
6471.04    711.346800    738.452300    137.201500
6475.35    693.658200    673.001200    107.957800
6479.66    689.206800    639.161100    93.634410
6483.97    710.413500    630.747100    81.890050
6488.28    716.736800    633.610400    79.509070
6492.59    676.332200    665.866200    107.370000
6496.90    676.030800    767.588500    159.431800
6501.21    734.916600    786.737700    158.810200
6505.52    743.202900    709.998600    116.279700
6509.83    718.476300    660.345000    92.170660
6514.14    697.681500    641.342200    88.681220
6518.45    683.615500    646.142000    93.456930
6522.76    693.790900    655.287300    98.172660
6527.08    710.010300    693.564100    110.388000
6531.39    766.836600    779.543800    138.956900
6535.70    764.036100    746.684000    127.944300
6540.01    712.670100    680.329700    107.214200
